Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160229_CH_Mcap_12.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-29 14:16:37 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD
E12,25-9.14.15,C,UNKNOWN,VIC,NFQ-MGB,30.73683548,30.67344284,0.089650728,,,,FALSE,0.01,FALSE,3,20,,N,N
E12,25-9.14.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
F1,237-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.64323044,28.32823181,0.445476681,,,,FALSE,0.01,TRUE,3,23,,N,N
F2,237-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.01323128,28.32823181,0.445476681,,,,FALSE,0.01,TRUE,3,24,,N,N
F3,237-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,26.42736816,26.61224365,0.26145342,,,,FALSE,0.01,FALSE,3,20,,N,N
F3,237-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
F4,237-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,26.79711914,26.61224365,0.26145342,,,,FALSE,0.01,FALSE,3,20,,N,N
F4,237-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
F5,121-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,29.75071144,29.66145325,0.12623015,,,,FALSE,0.01,TRUE,3,24,,N,N
F6,121-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,29.57219505,29.66145325,0.12623015,,,,FALSE,0.01,TRUE,3,24,,N,N
F7,121-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,27.89678764,27.98800278,0.128999025,,,,FALSE,0.01,FALSE,3,20,,N,N
