Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160224_CH_Mcap_6.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-24 12:43:42 PM HST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
D8,223-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,36.25823975,36.56913757,0.439675927,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
D8,223-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,31.27794647,31.05777359,0.311370134,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
D9,215-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,25.80708504,25.78794861,0.027064346,,,,FALSE,0.01,TRUE,3,20,,N,N,N,N
D10,215-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,25.76881027,25.78794861,0.027064346,,,,FALSE,0.01,TRUE,3,21,,N,N,N,N
D11,215-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,30.26937675,29.83292007,0.617242932,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
D11,215-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,29.30274391,29.15455246,0.209573016,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
D12,215-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,29.39646339,29.83292007,0.617242932,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
D12,215-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,29.00636292,29.15455246,0.209573016,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
E1,112-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,9.68961525,9.68961525,,,,,FALSE,0.01,TRUE,3,36,,N,N,N,N
E2,112-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,Undetermined,9.68961525,,,,,FALSE,0.01,TRUE,1,2,,N,N,N,N
E3,112-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,29.50127792,29.51651382,0.021548167,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
E3,112-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,30.53051186,30.37286377,0.222946718,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
E4,112-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,29.53175163,29.51651382,0.021548167,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
E4,112-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,30.21521759,30.37286377,0.222946718,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
E5,223-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.53284836,27.43976212,0.131643832,,,,FALSE,0.01,TRUE,3,23,,N,N,N,N
E6,223-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.34667587,27.43976212,0.131643832,,,,FALSE,0.01,TRUE,3,24,,N,N,N,N
E7,223-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,28.24146461,28.27261162,0.044048514,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
E7,223-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,32.60645294,32.00499725,0.850585461,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
E8,223-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,28.30375862,28.27261162,0.044048514,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
E8,223-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,31.40354347,32.00499725,0.850585461,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
E9,205-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,36.38891602,35.62688446,1.077675343,,,,FALSE,0.01,TRUE,3,32,,N,Y,N,N
E10,205-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,34.86485291,35.62688446,1.077675343,,,,FALSE,0.01,TRUE,3,31,,N,Y,N,N
E11,205-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,30.45966148,30.4197197,0.056486219,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
E11,205-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
E12,205-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,30.37977791,30.4197197,0.056486219,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
E12,205-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
F1,112-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.58533287,28.56816864,0.024272539,,,,FALSE,0.01,TRUE,3,24,,N,N,N,N
F2,112-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.55100632,28.56816864,0.024272539,,,,FALSE,0.01,TRUE,3,25,,N,N,N,N
F3,112-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,38.13293457,37.18978882,1.333809495,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
F3,112-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,29.33657265,29.39341354,0.080386512,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
F4,112-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,36.24664307,37.18978882,1.333809495,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
F4,112-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,29.45025635,29.39341354,0.080386512,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
F5,223-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.47496986,26.35318565,0.172228888,,,,FALSE,0.01,TRUE,3,20,,N,N,N,N
F6,223-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.23140144,26.35318565,0.172228888,,,,FALSE,0.01,TRUE,3,22,,N,N,N,N
F7,223-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,27.67147255,27.67058945,0.001250244,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
F7,223-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,29.34432793,29.34761238,0.00464492,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
F8,223-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,27.66970444,27.67058945,0.001250244,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
F8,223-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,29.35089684,29.34761238,0.00464492,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
F9,205-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.75147438,27.6519928,0.140686855,,,,FALSE,0.01,TRUE,3,23,,N,N,N,N
F10,205-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.55251312,27.6519928,0.140686855,,,,FALSE,0.01,TRUE,3,23,,N,N,N,N
F11,205-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,31.09620476,31.06257057,0.047565922,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
