Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160222_CH_Mcap_3.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-22 14:54:21 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,EXPFAIL
D1,238-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.80686951,24.52009392,0.405561924,,,,FALSE,0.01,TRUE,3,21,,N,N,N
D2,238-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.23331833,24.52009392,0.405561924,,,,FALSE,0.01,TRUE,3,20,,N,N,N
D3,238-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,28.38772202,28.31159592,0.107659906,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D3,238-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,28.76587105,28.70323563,0.088581212,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D4,238-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,28.23546791,28.31159592,0.107659906,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D4,238-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,28.6405983,28.70323563,0.088581212,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D5,121-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.73411942,26.58204269,0.215068966,,,,FALSE,0.01,TRUE,3,23,,N,N,N
D6,121-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.42996597,26.58204269,0.215068966,,,,FALSE,0.01,TRUE,3,23,,N,N,N
D7,121-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,27.84255981,27.7522049,0.127779797,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D7,121-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D8,121-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,27.66185188,27.7522049,0.127779797,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D8,121-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D9,234-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.53626823,26.57768631,0.058575355,,,,FALSE,0.01,TRUE,3,23,,N,N,N
D10,234-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.61910629,26.57768631,0.058575355,,,,FALSE,0.01,TRUE,3,23,,N,N,N
D11,234-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,29.55196571,29.76574898,0.302335203,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D11,234-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,30.89704704,30.98144531,0.119357176,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D12,234-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,29.97953224,29.76574898,0.302335203,,,,FALSE,0.01,FALSE,5,20,,N,N,N
D12,234-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,31.06584358,30.98144531,0.119357176,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E1,211-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.50964737,26.7830162,1.027613044,,,,FALSE,0.01,TRUE,3,25,,N,Y,N
E2,211-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.05638313,26.7830162,1.027613044,,,,FALSE,0.01,TRUE,3,23,,N,Y,N
E3,211-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,28.12514114,28.27656174,0.214141056,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E3,211-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E4,211-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,28.42798233,28.27656174,0.214141056,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E4,211-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E5,121-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.80512238,29.77214432,0.046638016,,,,FALSE,0.01,TRUE,3,27,,N,N,N
E6,121-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.73916626,29.77214432,0.046638016,,,,FALSE,0.01,TRUE,3,27,,N,N,N
E7,121-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,27.74907494,27.7498703,0.001123466,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E7,121-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E8,121-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,27.75066376,27.7498703,0.001123466,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E8,121-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E9,234-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,25.54817581,25.85895538,0.439510047,,,,FALSE,0.01,TRUE,3,23,,N,N,N
E10,234-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.16973686,25.85895538,0.439510047,,,,FALSE,0.01,TRUE,3,22,,N,N,N
E11,234-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,27.47556496,27.67394638,0.280552357,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E11,234-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,29.41511917,29.59416199,0.253206134,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E12,234-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,27.8723259,27.67394638,0.280552357,,,,FALSE,0.01,FALSE,5,20,,N,N,N
E12,234-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,29.77320671,29.59416199,0.253206134,,,,FALSE,0.01,FALSE,5,20,,N,N,N
