colony,date,score,mortality
20,11/4/14,3,0
20,11/24/14,3,0
20,12/16/14,3,0
20,1/14/15,3,0
20,5/6/15,3,0
20,8/11/15,3,0
20,9/14/15,3,0
20,10/1/15,3,0
20,10/21/15,3,0
20,11/4/15,3,0
20,12/17/15,3,0
20,1/20/16,3,0
20,2/11/16,3,0
25,10/24/14,1,0
25,11/4/14,2,0
25,11/24/14,2,0
25,12/16/14,No pic,No pic
25,1/14/15,2,0
25,5/6/15,3,0
25,8/11/15,2,0
25,9/14/15,2,0
25,10/1/15,1,0
25,10/21/15,1,0
25,11/4/15,1,0
25,12/17/15,1,1
25,1/20/16,1,2
25,2/11/16,1,2
26,10/24/14,3,0
26,11/4/14,3,0
26,11/24/14,3,0
26,12/16/14,No pic,No pic
26,1/14/15,3,0
26,5/6/15,3,0
26,8/11/15,3,0
26,9/14/15,3,0
26,10/1/15,3,0
26,10/21/15,3,0
26,11/4/15,3,0
26,12/17/15,3,0
26,1/20/16,3,0
26,2/11/16,3,0
31,10/24/14,1,0
31,11/4/14,1,0
31,11/24/14,1,0
31,12/16/14,2,0
31,1/14/15,2,0
31,5/6/15,3,0
31,8/11/15,1,0
31,9/14/15,1,0
31,10/1/15,1,0
31,10/21/15,1,0
31,11/4/15,0,3
31,12/17/15,0,3
31,1/20/16,0,3
31,2/11/16,0,3
32,10/24/14,3,0
32,11/4/14,3,0
32,11/24/14,3,0
32,12/16/14,3,0
32,1/14/15,3,0
32,5/6/15,3,0
32,8/11/15,3,0
32,9/14/15,3,0
32,10/1/15,3,0
32,10/21/15,3,0
32,11/4/15,3,0
32,12/17/15,3,0
32,1/20/16,3,0
32,2/11/16,3,0
39,10/24/14,1,0
39,11/4/14,1,0
39,11/24/14,1,0
39,12/16/14,2,0
39,1/14/15,missing,missing
39,5/6/15,missing,missing
39,8/11/15,missing,missing
39,9/14/15,missing,missing
39,10/1/15,missing,missing
39,10/21/15,missing,missing
39,11/4/15,missing,missing
39,12/17/15,missing,missing
39,1/20/16,missing,missing
39,2/11/16,missing,missing
40,10/24/14,3,0
40,11/4/14,3,0
40,11/24/14,3,0
40,12/16/14,3,0
40,1/14/15,3,0
40,5/6/15,3,0
40,8/11/15,2,0
40,9/14/15,2,0
40,10/1/15,3,0
40,10/21/15,3,0
40,11/4/15,3,0
40,12/17/15,3,0
40,1/20/16,3,0
40,2/11/16,3,0
43,10/24/14,1,0
43,11/4/14,1,0
43,11/24/14,1,0
43,12/16/14,No pic,No pic
43,1/14/15,1,1
43,5/6/15,3,1
43,8/11/15,2,1
43,9/14/15,1,1
43,10/1/15,1,1
43,10/21/15,1,1
43,11/4/15,1,1
43,12/17/15,1,2
43,1/20/16,1,2
43,2/11/16,1,2
44,10/24/14,3,0
44,11/4/14,3,0
44,11/24/14,3,0
44,12/16/14,No pic,No pic
44,1/14/15,3,0
44,5/6/15,3,0
44,8/11/15,3,0
44,9/14/15,3,0
44,10/1/15,3,0
44,10/21/15,3,0
44,11/4/15,3,0
44,12/17/15,3,0
44,1/20/16,3,0
44,2/11/16,3,0
51,10/24/14,1,0
51,11/4/14,1,0
51,11/24/14,1,0
51,12/16/14,2,0
51,1/14/15,2,0
51,5/6/15,3,0
51,8/11/15,2,0
51,9/14/15,1,0
51,10/1/15,1,0
51,10/21/15,1,0
51,11/4/15,1,0
51,12/17/15,1,0
51,1/20/16,2,0
51,2/11/16,2,0
52,10/24/14,3,0
52,11/4/14,3,0
52,11/24/14,3,0
52,12/16/14,3,0
52,1/14/15,3,0
52,5/6/15,3,0
52,8/11/15,3,0
52,9/14/15,3,0
52,10/1/15,3,0
52,10/21/15,3,0
52,11/4/15,3,0
52,12/17/15,3,0
52,1/20/16,3,0
52,2/11/16,3,0
53,10/24/14,1,0
53,11/4/14,2,0
53,11/24/14,3,0
53,12/16/14,3,0
53,1/14/15,3,0
53,5/6/15,3,0
53,8/11/15,2,0
53,9/14/15,1,0
53,10/1/15,1,0
53,10/21/15,1,0
53,11/4/15,2,0
53,12/17/15,2,0
53,1/20/16,2,0
53,2/11/16,3,0
54,10/24/14,3,0
54,11/4/14,3,0
54,11/24/14,3,0
54,12/16/14,3,0
54,1/14/15,3,0
54,5/6/15,3,0
54,8/11/15,3,0
54,9/14/15,3,0
54,10/1/15,3,0
54,10/21/15,3,0
54,11/4/15,3,0
54,12/17/15,3,0
54,1/20/16,3,0
54,2/11/16,3,0
57,10/24/14,1,0
57,11/4/14,1,0
57,11/24/14,1,0
57,12/16/14,2,0
57,1/14/15,2,0
57,5/6/15,3,0
57,8/11/15,3,0
57,9/14/15,1,0
57,10/1/15,1,0
57,10/21/15,1,0
57,11/4/15,1,0
57,12/17/15,2,0
57,1/20/16,2,0
57,2/11/16,3,0
58,10/24/14,3,0
58,11/4/14,3,0
58,11/24/14,3,0
58,12/16/14,3,0
58,1/14/15,3,0
58,5/6/15,3,0
58,8/11/15,2,0
58,9/14/15,2,0
58,10/1/15,2,0
58,10/21/15,3,0
58,11/4/15,3,0
58,12/17/15,3,0
58,1/20/16,3,0
58,2/11/16,3,0
65,10/24/14,1,0
65,11/4/14,2,0
65,11/24/14,2,0
65,12/16/14,2,0
65,1/14/15,2,0
65,5/6/15,3,0
65,8/11/15,2,0
65,9/14/15,1,0
65,10/1/15,2,0
65,10/21/15,2,0
65,11/4/15,2,0
65,12/17/15,3,0
65,1/20/16,3,0
65,2/11/16,3,0
66,10/24/14,3,0
66,11/4/14,3,0
66,11/24/14,3,0
66,12/16/14,3,0
66,1/14/15,3,0
66,5/6/15,3,0
66,8/11/15,3,0
66,9/14/15,3,0
66,10/1/15,3,0
66,10/21/15,3,0
66,11/4/15,3,0
66,12/17/15,3,0
66,1/20/16,3,0
66,2/11/16,3,0
69,10/24/14,1,0
69,11/4/14,1,0
69,11/24/14,2,0
69,12/16/14,2,0
69,1/14/15,2,0
69,5/6/15,3,0
69,8/11/15,2,0
69,9/14/15,2,0
69,10/1/15,1,0
69,10/21/15,1,0
69,11/4/15,1,0
69,12/17/15,2,0
69,1/20/16,3,0
69,2/11/16,3,0
70,10/24/14,3,0
70,11/4/14,3,0
70,11/24/14,3,0
70,12/16/14,3,0
70,1/14/15,3,0
70,5/6/15,3,0
70,8/11/15,3,0
70,9/14/15,3,0
70,10/1/15,3,0
70,10/21/15,3,0
70,11/4/15,3,0
70,12/17/15,3,0
70,1/20/16,3,0
70,2/11/16,3,0
71,10/24/14,1,0
71,11/4/14,1,0
71,11/24/14,1,1
71,12/16/14,2,1
71,1/14/15,2,1
71,5/6/15,2,1
71,8/11/15,1,1
71,9/14/15,1,1
71,10/1/15,1,1
71,10/21/15,1,1
71,11/4/15,2,1
71,12/17/15,2,1
71,1/20/16,2,1
71,2/11/16,2,1
72,10/24/14,3,0
72,11/4/14,3,0
72,11/24/14,3,0
72,12/16/14,3,0
72,1/14/15,3,0
72,5/6/15,3,0
72,8/11/15,3,0
72,9/14/15,3,0
72,10/1/15,3,0
72,10/21/15,3,0
72,11/4/15,3,0
72,12/17/15,3,0
72,1/20/16,3,0
72,2/11/16,3,0
77,10/24/14,1,0
77,11/4/14,1,0
77,11/24/14,1,0
77,12/16/14,2,0
77,1/14/15,2,0
77,5/6/15,3,0
77,8/11/15,2,0
77,9/14/15,1,0
77,10/1/15,1,0
77,10/21/15,1,0
77,11/4/15,1,1
77,12/17/15,2,1
77,1/20/16,2,2
77,2/11/16,2,2
78,10/24/14,3,0
78,11/4/14,3,0
78,11/24/14,3,0
78,12/16/14,3,0
78,1/14/15,3,0
78,5/6/15,3,0
78,8/11/15,3,0
78,9/14/15,3,0
78,10/1/15,3,0
78,10/21/15,3,0
78,11/4/15,3,0
78,12/17/15,3,0
78,1/20/16,3,0
78,2/11/16,3,0
79,10/24/14,1,0
79,11/4/14,1,0
79,11/24/14,1,0
79,12/16/14,1,0
79,1/14/15,2,1
79,5/6/15,3,1
79,8/11/15,2,1
79,9/14/15,2,1
79,10/1/15,1,1
79,10/21/15,1,1
79,11/4/15,1,1
79,12/17/15,2,2
79,1/20/16,2,2
79,2/11/16,3,2
80,10/24/14,3,0
80,11/4/14,3,0
80,11/24/14,3,0
80,12/16/14,3,0
80,1/14/15,3,1
80,5/6/15,2,2
80,8/11/15,0,3
80,9/14/15,0,3
80,10/1/15,0,3
80,10/21/15,0,3
80,11/4/15,0,3
80,12/17/15,0,3
80,1/20/16,0,3
80,2/11/16,0,3
83,10/24/14,1,0
83,11/4/14,1,0
83,11/24/14,2,1
83,12/16/14,2,1
83,1/14/15,3,1
83,5/6/15,2,1
83,8/11/15,2,1
83,9/14/15,1,1
83,10/1/15,1,1
83,10/21/15,1,2
83,11/4/15,1,2
83,12/17/15,2,2
83,1/20/16,2,2
83,2/11/16,2,2
84,10/24/14,3,0
84,11/4/14,3,0
84,11/24/14,3,0
84,12/16/14,3,0
84,1/14/15,3,0
84,5/6/15,3,0
84,8/11/15,3,0
84,9/14/15,3,0
84,10/1/15,3,0
84,10/21/15,3,0
84,11/4/15,3,0
84,12/17/15,3,0
84,1/20/16,3,0
84,2/11/16,3,0
91,10/24/14,1,0
91,11/4/14,2,0
91,11/24/14,2,0
91,12/16/14,2,0
91,1/14/15,missing,missing
91,5/6/15,missing,missing
91,8/11/15,missing,missing
91,9/14/15,missing,missing
91,10/1/15,missing,missing
91,10/21/15,missing,missing
91,11/4/15,missing,missing
91,12/17/15,missing,missing
91,1/20/16,missing,missing
91,2/11/16,missing,missing
92,10/24/14,3,0
92,11/4/14,3,0
92,11/24/14,3,0
92,12/16/14,3,0
92,1/14/15,missing,missing
92,5/6/15,missing,missing
92,8/11/15,missing,missing
92,9/14/15,missing,missing
92,10/1/15,missing,missing
92,10/21/15,missing,missing
92,11/4/15,missing,missing
92,12/17/15,missing,missing
92,1/20/16,missing,missing
92,2/11/16,missing,missing
109,10/24/14,1,0
109,11/4/14,2,0
109,11/24/14,2,0
109,12/16/14,2,0
109,1/14/15,2,0
109,5/6/15,3,0
109,8/11/15,2,0
109,9/14/15,1,0
109,10/1/15,1,0
109,10/21/15,1,0
109,11/4/15,2,0
109,12/17/15,2,1
109,1/20/16,2,1
109,2/11/16,2,1
110,10/24/14,3,0
110,11/4/14,3,0
110,11/24/14,3,0
110,12/16/14,3,0
110,1/14/15,3,0
110,5/6/15,3,0
110,8/11/15,3,0
110,9/14/15,3,0
110,10/1/15,3,0
110,10/21/15,3,0
110,11/4/15,3,0
110,12/17/15,3,0
110,1/20/16,3,0
110,2/11/16,3,0
111,10/24/14,1,0
111,11/4/14,1,1
111,11/24/14,2,1
111,12/16/14,2,2
111,1/14/15,3,2
111,5/6/15,2,2
111,8/11/15,1,2
111,9/14/15,1,2
111,10/1/15,1,2
111,10/21/15,1,2
111,11/4/15,1,2
111,12/17/15,3,2
111,1/20/16,3,2
111,2/11/16,3,2
112,10/24/14,3,0
112,11/4/14,3,0
112,11/24/14,3,0
112,12/16/14,3,0
112,1/14/15,3,0
112,5/6/15,3,0
112,8/11/15,3,0
112,9/14/15,3,0
112,10/1/15,3,0
112,10/21/15,3,0
112,11/4/15,3,0
112,12/17/15,3,0
112,1/20/16,3,0
112,2/11/16,3,0
119,10/24/14,1,0
119,11/4/14,2,0
119,11/24/14,2,0
119,12/16/14,2,0
119,1/14/15,2,0
119,5/6/15,3,0
119,8/11/15,2,0
119,9/14/15,2,0
119,10/1/15,2,0
119,10/21/15,2,0
119,11/4/15,3,0
119,12/17/15,3,0
119,1/20/16,2,0
119,2/11/16,3,0
120,10/24/14,3,0
120,11/4/14,3,0
120,11/24/14,3,0
120,12/16/14,3,0
120,1/14/15,3,0
120,5/6/15,3,0
120,8/11/15,3,0
120,9/14/15,3,0
120,10/1/15,3,0
120,10/21/15,3,0
120,11/4/15,3,0
120,12/17/15,3,0
120,1/20/16,3,0
120,2/11/16,3,0
121,10/24/14,1,0
121,11/4/14,1,0
121,11/24/14,2,0
121,12/16/14,2,0
121,1/14/15,3,0
121,5/6/15,3,0
121,8/11/15,1,0
121,9/14/15,1,0
121,10/1/15,1,0
121,10/21/15,1,0
121,11/4/15,2,0
121,12/17/15,3,0
121,1/20/16,3,0
121,2/11/16,3,0
122,10/24/14,3,0
122,11/4/14,3,0
122,11/24/14,3,0
122,12/16/14,3,0
122,1/14/15,3,0
122,5/6/15,3,0
122,8/11/15,3,0
122,9/14/15,3,0
122,10/1/15,2,0
122,10/21/15,3,0
122,11/4/15,3,0
122,12/17/15,3,0
122,1/20/16,3,0
122,2/11/16,3,0
123,10/24/14,1,0
123,11/4/14,No pic,No pic
123,11/24/14,2,0
123,12/16/14,2,0
123,1/14/15,3,0
123,5/6/15,3,0
123,8/11/15,1,0
123,9/14/15,1,0
123,10/1/15,1,0
123,10/21/15,1,1
123,11/4/15,1,1
123,12/17/15,3,1
123,1/20/16,3,1
123,2/11/16,3,1
124,10/24/14,3,0
124,11/4/14,No pic,No pic
124,11/24/14,3,0
124,12/16/14,3,0
124,1/14/15,3,0
124,5/6/15,3,0
124,8/11/15,3,0
124,9/14/15,3,0
124,10/1/15,3,0
124,10/21/15,3,0
124,11/4/15,3,0
124,12/17/15,3,0
124,1/20/16,3,0
124,2/11/16,3,0
125,10/24/14,1,0
125,11/4/14,2,0
125,11/24/14,2,0
125,12/16/14,2,0
125,1/14/15,2,0
125,5/6/15,3,0
125,8/11/15,2,0
125,9/14/15,1,1
125,10/1/15,1,1
125,10/21/15,2,1
125,11/4/15,2,1
125,12/17/15,2,1
125,1/20/16,2,1
125,2/11/16,2,1
126,10/24/14,3,0
126,11/4/14,3,0
126,11/24/14,3,0
126,12/16/14,3,0
126,1/14/15,3,0
126,5/6/15,3,0
126,8/11/15,3,0
126,9/14/15,3,0
126,10/1/15,3,0
126,10/21/15,3,0
126,11/4/15,3,0
126,12/17/15,3,0
126,1/20/16,3,0
126,2/11/16,3,0
127,10/24/14,1,0
127,11/4/14,No pic,No pic
127,11/24/14,2,0
127,12/16/14,2,0
127,1/14/15,3,0
127,5/6/15,3,0
127,8/11/15,3,0
127,9/14/15,missing,missing
127,10/1/15,missing,missing
127,10/21/15,missing,missing
127,11/4/15,missing,missing
127,12/17/15,missing,missing
127,1/20/16,missing,missing
127,2/11/16,missing,missing
128,10/24/14,3,0
128,11/4/14,No pic,No pic
128,11/24/14,3,0
128,12/16/14,3,0
128,1/14/15,missing,missing
128,5/6/15,missing,missing
128,8/11/15,missing,missing
128,9/14/15,missing,missing
128,10/1/15,missing,missing
128,10/21/15,missing,missing
128,11/4/15,missing,missing
128,12/17/15,missing,missing
128,1/20/16,missing,missing
128,2/11/16,missing,missing
129,10/24/14,1,0
129,11/4/14,1,1
129,11/24/14,1,2
129,12/16/14,0,3
129,1/14/15,0,3
129,5/6/15,0,3
129,8/11/15,0,3
129,9/14/15,0,3
129,10/1/15,0,3
129,10/21/15,0,3
129,11/4/15,0,3
129,12/17/15,0,3
129,1/20/16,0,3
129,2/11/16,0,3
130,10/24/14,3,0
130,11/4/14,3,0
130,11/24/14,3,0
130,12/16/14,3,0
130,1/14/15,3,0
130,5/6/15,3,0
130,8/11/15,2,0
130,9/14/15,1,0
130,10/1/15,1,2
130,10/21/15,0,3
130,11/4/15,0,3
130,12/17/15,0,3
130,1/20/16,0,3
130,2/11/16,0,3
131,10/24/14,1,0
131,11/4/14,1,0
131,11/24/14,2,0
131,12/16/14,2,0
131,1/14/15,2,0
131,5/6/15,3,0
131,8/11/15,2,0
131,9/14/15,1,1
131,10/1/15,1,1
131,10/21/15,1,1
131,11/4/15,1,2
131,12/17/15,2,2
131,1/20/16,2,2
131,2/11/16,2,2
132,10/24/14,3,0
132,11/4/14,3,0
132,11/24/14,3,0
132,12/16/14,3,0
132,1/14/15,3,0
132,5/6/15,3,0
132,8/11/15,3,0
132,9/14/15,3,0
132,10/1/15,3,1
132,10/21/15,3,1
132,11/4/15,3,1
132,12/17/15,3,1
132,1/20/16,3,1
132,2/11/16,3,2
137,10/24/14,1,0
137,11/4/14,2,0
137,11/24/14,2,0
137,12/16/14,2,0
137,1/14/15,3,0
137,5/6/15,3,0
137,8/11/15,1,0
137,9/14/15,1,0
137,10/1/15,1,0
137,10/21/15,1,0
137,11/4/15,2,0
137,12/17/15,2,0
137,1/20/16,2,0
137,2/11/16,3,0
138,10/24/14,3,0
138,11/4/14,3,0
138,11/24/14,3,0
138,12/16/14,3,0
138,1/14/15,3,0
138,5/6/15,3,0
138,8/11/15,3,0
138,9/14/15,3,0
138,10/1/15,3,0
138,10/21/15,3,0
138,11/4/15,3,0
138,12/17/15,3,0
138,1/20/16,3,0
138,2/11/16,3,0
201,10/1/15,1,0
201,10/21/15,1,0
201,11/4/15,1,2
201,12/17/15,2,2
201,1/20/16,3,2
201,2/11/16,3,2
202,10/1/15,3,0
202,10/21/15,3,0
202,11/4/15,3,0
202,12/17/15,3,0
202,1/20/16,3,0
202,2/11/16,3,0
205,10/1/15,1,0
205,10/21/15,1,0
205,11/4/15,2,0
205,12/17/15,2,0
205,1/20/16,2,0
205,2/11/16,2,0
206,10/1/15,3,0
206,10/21/15,3,0
206,11/4/15,3,0
206,12/17/15,3,0
206,1/20/16,3,0
206,2/11/16,3,0
207,10/1/15,1,0
207,10/21/15,2,0
207,11/4/15,2,0
207,12/17/15,3,0
207,1/20/16,3,0
207,2/11/16,3,0
208,10/1/15,3,0
208,10/21/15,3,0
208,11/4/15,3,0
208,12/17/15,3,0
208,1/20/16,3,0
208,2/11/16,3,0
211,10/1/15,1,0
211,10/21/15,1,0
211,11/4/15,2,0
211,12/17/15,3,0
211,1/20/16,3,0
211,2/11/16,3,0
212,10/1/15,3,0
212,10/21/15,3,0
212,11/4/15,3,0
212,12/17/15,3,0
212,1/20/16,3,0
212,2/11/16,3,0
215,10/1/15,1,0
215,10/21/15,1,0
215,11/4/15,1,0
215,12/17/15,1,0
215,1/20/16,2,0
215,2/11/16,2,0
216,10/1/15,3,0
216,10/21/15,3,0
216,11/4/15,3,0
216,12/17/15,3,0
216,1/20/16,3,0
216,2/11/16,3,0
223,10/1/15,1,0
223,10/21/15,1,0
223,11/4/15,1,0
223,12/17/15,2,0
223,1/20/16,No pic,No pic
223,2/11/16,3,0
224,10/1/15,3,0
224,10/21/15,3,0
224,11/4/15,3,0
224,12/17/15,3,0
224,1/20/16,No pic,No pic
224,2/11/16,3,0
227,10/1/15,1,0
227,10/21/15,1,0
227,11/4/15,1,2
227,12/17/15,2,2
227,1/20/16,3,2
227,2/11/16,3,2
228,10/1/15,3,0
228,10/21/15,3,0
228,11/4/15,3,0
228,12/17/15,3,0
228,1/20/16,3,0
228,2/11/16,3,0
233,10/1/15,1,0
233,10/21/15,1,0
233,11/4/15,2,0
233,12/17/15,2,0
233,1/20/16,3,0
233,2/11/16,3,0
234,10/1/15,3,0
234,10/21/15,3,0
234,11/4/15,3,0
234,12/17/15,3,0
234,1/20/16,3,0
234,2/11/16,3,0
237,10/1/15,1,0
237,10/21/15,1,0
237,11/4/15,2,0
237,12/17/15,2,0
237,1/20/16,3,0
237,2/11/16,3,0
238,10/1/15,3,0
238,10/21/15,3,0
238,11/4/15,3,0
238,12/17/15,3,0
238,1/20/16,3,0
238,2/11/16,3,0
239,10/1/15,1,0
239,10/21/15,2,0
239,11/4/15,2,0
239,12/17/15,2,0
239,1/20/16,2,0
239,2/11/16,3,0
240,10/1/15,3,0
240,10/21/15,3,0
240,11/4/15,3,0
240,12/17/15,3,0
240,1/20/16,3,0
240,2/11/16,3,0
